Pressure (kPa),Temperature (K), Specific Volume (m^3 / kg), Enthalpy (kJ / kg), Internal Energy (kJ / kg), Entropy (kJ / kg * K) 
100,400,1.1481,402.728,287.917,6.99768
4000,1136.21,0.0815303,1200.94,874.816,6.99768
4000,4477.93,0.32132,5510.94,4225.66,8.72412
100,2020.25,5.52205,2297.64,1717.78,8.72412
100,400,1.1481,402.728,287.917,6.99768
